usuarios;grupo;senha;;
adolfo.carlos;DBA;MeMuda123456!;;
aguinaldo.balsemao;NetworkAdmin;MeMuda123456!;;
alda.lage;CloudAdmin;MeMuda123456!;;
amelia.penteado;LinuxAdmin;MeMuda123456!;;
anacleto.abrantes;DBA;MeMuda123456!;;
angelino.marinho;DBA;MeMuda123456!;;
arachane.dinis;DBA;MeMuda123456!;;
armando.pirassununga;DBA;MeMuda123456!;;
astolfo.cerveira;DBA;MeMuda123456!;;
augusta.gusmao;DBA;MeMuda123456!;;
boaventura.trindade;DBA;MeMuda123456!;;
bras.vides;DBA;MeMuda123456!;;
bruna.muniz;DBA;MeMuda123456!;;
capitolina.garrido;DBA;MeMuda123456!;;
carina.salles;DBA;MeMuda123456!;;
caua.setubal;DBA;MeMuda123456!;;
celeste.moreira;DBA;MeMuda123456!;;
celso.torres;DBA;MeMuda123456!;;
cesar.matos;LinuxAdmin;MeMuda123456!;;
cleiton.frois;DBA;MeMuda123456!;;
cristiana.dornelles;DBA;MeMuda123456!;;
debora.ferreyra;LinuxAdmin;MeMuda123456!;;
deolindo.ourique;LinuxAdmin;MeMuda123456!;;
diamantino.raposo;LinuxAdmin;MeMuda123456!;;
donato.gama;LinuxAdmin;MeMuda123456!;;
doroteia.robalo;LinuxAdmin;MeMuda123456!;;
egas.malta;LinuxAdmin;MeMuda123456!;;
emiliana.bicudo;LinuxAdmin;MeMuda123456!;;
esperanca.carrasco;LinuxAdmin;MeMuda123456!;;
eudes.bogado;LinuxAdmin;MeMuda123456!;;
fausto.doutel;LinuxAdmin;MeMuda123456!;;
filipa.holanda;LinuxAdmin;MeMuda123456!;;
filipe.henriques;LinuxAdmin;MeMuda123456!;;
gil.pinhal;LinuxAdmin;MeMuda123456!;;
gilda.maior;LinuxAdmin;MeMuda123456!;;
giovana.carballo;LinuxAdmin;MeMuda123456!;;
glauber.feijo;LinuxAdmin;MeMuda123456!;;
glaucia.pitangui;LinuxAdmin;MeMuda123456!;;
godofredo.carvalhal;LinuxAdmin;MeMuda123456!;;
goncalo.balladares;LinuxAdmin;MeMuda123456!;;
graciano.vianna;LinuxAdmin;MeMuda123456!;;
gui.maior;LinuxAdmin;MeMuda123456!;;
guterre.milheiro;LinuxAdmin;MeMuda123456!;;
guterre.pastana;LinuxAdmin;MeMuda123456!;;
hedviges.velasquez;LinuxAdmin;MeMuda123456!;;
helena.acatauacu;LinuxAdmin;MeMuda123456!;;
hermigio.rosa;LinuxAdmin;MeMuda123456!;;
ibijara.capiperibe;NetworkAdmin;MeMuda123456!;;
ifigenia.homem;NetworkAdmin;MeMuda123456!;;
iracema.bento;NetworkAdmin;MeMuda123456!;;
jandaira.escobar;NetworkAdmin;MeMuda123456!;;
jeremias.paula;NetworkAdmin;MeMuda123456!;;
lavinia.delgado;NetworkAdmin;MeMuda123456!;;
ligia.palhares;NetworkAdmin;MeMuda123456!;;
lino.belmonte;NetworkAdmin;MeMuda123456!;;
lopo.camacho;NetworkAdmin;MeMuda123456!;;
luisa.ramirez;NetworkAdmin;MeMuda123456!;;
mario.briao;NetworkAdmin;MeMuda123456!;;
melissa.queiroz;NetworkAdmin;MeMuda123456!;;
mem.regueira;NetworkAdmin;MeMuda123456!;;
morgana.valgueiro;NetworkAdmin;MeMuda123456!;;
natalia.terra;NetworkAdmin;MeMuda123456!;;
nazare.verissimo;NetworkAdmin;MeMuda123456!;;
noe.betancour;NetworkAdmin;MeMuda123456!;;
noemia.sarmento;NetworkAdmin;MeMuda123456!;;
olavo.borges;NetworkAdmin;MeMuda123456!;;
oliveira.sobral;NetworkAdmin;MeMuda123456!;;
oriana.viveiros;NetworkAdmin;MeMuda123456!;;
paraguacu.ipanema;NetworkAdmin;MeMuda123456!;;
placido.medeiros;NetworkAdmin;MeMuda123456!;;
porfirio.azenha;NetworkAdmin;MeMuda123456!;;
potira.ferraco;NetworkAdmin;MeMuda123456!;;
quiteria.xavier;NetworkAdmin;MeMuda123456!;;
raquel.paredes;Intern;MeMuda123456!;;
ruca.conde;Intern;MeMuda123456!;;
salvador.vasquez;Intern;MeMuda123456!;;
sancha.pino;Intern;MeMuda123456!;;
sandro.alvarenga;Intern;MeMuda123456!;;
sebastiana.peres;Intern;MeMuda123456!;;
sebastiao.vasconcelos;Intern;MeMuda123456!;;
severino.martins;Intern;MeMuda123456!;;
sidonio.ramirez;Intern;MeMuda123456!;;
simone.velasco;Intern;MeMuda123456!;;
socorro.brum;Intern;MeMuda123456!;;
sofia.siqueira;Intern;MeMuda123456!;;
sonas.modesto;Intern;MeMuda123456!;;
sonia.telles;Intern;MeMuda123456!;;
teodorico.guilheiro;Intern;MeMuda123456!;;
tobias.piraja;Intern;MeMuda123456!;;
trajano.santanna;Intern;MeMuda123456!;;
ubajara.guerreiro;Intern;MeMuda123456!;;
vania.paredes;CloudAdmin;MeMuda123456!;;
vera.andrade;Intern;MeMuda123456!;;
viriato.albernaz;Intern;MeMuda123456!;;
xenia.peres;CloudAdmin;MeMuda123456!;;
zelia.ferrao;CloudAdmin;MeMuda123456!;;
zidane.espargosa;CloudAdmin;MeMuda123456!;;
zilda.pastana;CloudAdmin;MeMuda123456!;;
zulmira.paixao;CloudAdmin;MeMuda123456!;;
zuriel.losada;CloudAdmin;MeMuda123456!;;
